token_id,rarity_score,last_sale_price,price,priceUsd,predictions,residual,abs_residual
4704,211.11879605090587,0.79,1.492814854682454,4496.18579201187,3298.3523543597025,1197.8334376521675,1197.8334376521675
4296,52.03072257928903,0.299,0.289,796.1086528113833,1993.8402074364385,-1197.7315546250552,1197.7315546250552
3586,34.94705307284975,2.2,2.1,5298.398345369393,6495.776171135862,-1197.377825766469,1197.377825766469
5190,151.6181852124032,4.64,4.93,12504.964201273036,13701.843554987166,-1196.87935371413,1196.87935371413
2046,112.82384513334785,1.02,1.9,4797.769172588824,3602.6727670577675,1195.096405531057,1195.096405531057
2819,169.93386136990335,0.25,0.195,928.5888204682584,2123.3210370373745,-1194.7322165691162,1194.7322165691162
890,45.48828170819557,2.29,2.0,5046.093662256565,6240.528167125864,-1194.4345048692985,1194.4345048692985
4850,99.13475274980756,0.2,0.27,1246.157789410348,2439.3376948280456,-1193.1799054176977,1193.1799054176977
1255,92.2072667858208,0.12,0.4,1648.2684189935485,2839.0405300334896,-1190.7721110399411,1190.7721110399411
9000,132.77516867194475,0.149,0.155,575.2075172162303,1765.6165067870083,-1190.408989570778,1190.408989570778
6565,166.05516929060934,0.289,0.33,1523.0817426126475,2711.899743948211,-1188.8180013355634,1188.8180013355634
1739,59.98112370619332,3.39,3.2,8061.036630645851,9249.152553223887,-1188.1159225780357,1188.1159225780357
8370,133.69286074794138,1.14,1.149,2901.387778581347,4088.8197011661086,-1187.4319225847617,1187.4319225847617
5335,96.87330972481053,2.5,2.75,6975.38571064926,5788.418505851469,1186.967204797791,1186.967204797791
7831,127.64164554221524,0.777,1.33,4092.4672834028975,2905.836142580607,1186.6311408222905,1186.6311408222905
4151,221.24377953079133,0.085,0.287,1135.188330761204,2321.621297565638,-1186.432966804434,1186.432966804434
7324,130.91168001964152,0.33,0.3999,1742.4924403074572,2928.8070722284706,-1186.3146319210134,1186.3146319210134
2708,99.0794699209089,1.9905872749924816,1.769,4466.975613847175,5653.2033561845265,-1186.2277423373516,1186.2277423373516
9747,128.59210627148306,5.5,5.5,13854.906708922555,15039.824290547751,-1184.9175816251955,1184.9175816251955
2370,154.13211283046894,0.8,1.25,3623.967323149117,2440.26193279823,1183.7053903508868,1183.7053903508868
9235,181.09846479958148,3.39,3.5,8877.76363173542,10061.333307740835,-1183.5696760054143,1183.5696760054143
5920,67.66053703667606,0.777,0.85,2615.486609693581,3798.376186377017,-1182.8895766834357,1182.8895766834357
4263,136.01621047156002,0.3499,0.43,1064.1425228793637,2245.9090883487506,-1181.766565469387,1181.766565469387
5698,52.01063449540638,2.69,2.6,6571.437935004386,7752.196050246432,-1180.7581152420453,1180.7581152420453
8732,118.01027464899772,4.2,3.55,8942.71251212274,10123.160205359536,-1180.447693236796,1180.447693236796
6647,145.65458787851992,2.0,2.9,7322.910842372416,6142.60621961318,1180.3046227592358,1180.3046227592358
1077,64.10597890736825,0.169,0.2,946.823518492702,2126.5053500137456,-1179.6818315210435,1179.6818315210435
9543,22.03392070777914,3.69,2.32,5884.689035893193,7063.659589612924,-1178.9705537197306,1178.9705537197306
8661,30.249973677085624,0.2022,0.39,1294.2690515941483,115.4070111640309,1178.8620404301173,1178.8620404301173
2994,128.54661355537536,0.7,0.66,2030.8484263503103,3209.6150441190134,-1178.766617768703,1178.766617768703
2818,50.39184412702246,0.15,0.14,502.96708118513743,1679.9923916953544,-1177.025310510217,1177.025310510217
8813,172.07727793182946,1.97,1.85,4671.512089099645,5847.79343094374,-1176.2813418440946,1176.2813418440946
8746,95.04913247095104,0.369,0.2,903.1603600436758,2079.123183754522,-1175.9628237108461,1175.9628237108461
3448,165.72493948015438,0.24,0.25,687.3880111908777,1863.203711608799,-1175.8157004179213,1175.8157004179213
5170,90.51904204639288,9.69,0.998,2520.091386444025,3695.5542464566956,-1175.4628600126707,1175.4628600126707
1384,102.3415304484655,0.239,0.23,909.651368812378,2084.6712324757887,-1175.0198636634107,1175.0198636634107
2790,37.28588643647629,6.15,6.2,15618.258471876336,16793.11134248324,-1174.8528706069046,1174.8528706069046
2631,134.17868670812723,2.75,2.75,6504.868899856348,7677.640701821382,-1172.7718019650338,1172.7718019650338
1326,62.6680526595981,0.9987654321,1.0,2525.141669783592,1352.454868339656,1172.686801443936,1172.686801443936
3572,57.06943930500012,2.6,2.5,6307.617077820705,7479.610697187364,-1171.993619366659,1171.993619366659
2855,37.84973704627412,1.2,1.16,2929.1643369489666,4100.784041557383,-1171.6197046084162,1171.6197046084162
7157,111.65321987359523,0.085,0.072,201.75164370788664,1373.0496701237955,-1171.298026415909,1171.298026415909
928,125.62540733820072,6.69,7.99,20127.400837143858,18957.155171393933,1170.2456657499242,1170.2456657499242
765,105.84059948356295,3.11,3.5,8877.76363173542,7709.799483727532,1167.964148007889,1167.964148007889
3376,236.0414227059776,1.245,2.5,6312.85417445898,5145.62389325598,1167.2302812030002,1167.2302812030002
9208,129.25941507832675,4.65,4.65,11713.693853907253,12880.84937334758,-1167.1555194403281,1167.1555194403281
2331,134.85712658758752,7.5,3.75,9511.889605430808,8345.43068944292,1166.4589159878888,1166.4589159878888
9696,101.75456469705594,0.194,0.74,2113.8952839459835,3280.1048010691793,-1166.2095171231958,1166.2095171231958
3033,89.46204773520026,1.25,1.1,2777.6558367619514,3943.231718557638,-1165.5758817956867,1165.5758817956867
3017,28.191810326632524,0.209,0.39,1786.3031232775568,621.0220546122123,1165.2810686653445,1165.2810686653445
2539,52.59337949278318,9.9,4.73,11915.219769673398,13076.805866749612,-1161.5860970762133,1161.5860970762133
3752,212.78616190057028,2.97,4.2069,10670.818234956496,9509.776703777192,1161.041531179304,1161.041531179304
4218,74.89950371260797,1.8,1.7,4292.740838632106,5452.275629860851,-1159.5347912287452,1159.5347912287452
9022,219.40039985554017,0.21,0.35,1148.6048423846498,2307.9904162109133,-1159.3855738262635,1159.3855738262635
6402,63.08041877205151,0.169,0.185,764.9630310755252,1924.0170883015924,-1159.054057226067,1159.054057226067
5530,49.76453270499596,6.8,5.3,13351.091919507193,14509.302361220505,-1158.2104417133123,1158.2104417133123
4293,82.19169418021613,0.51,0.88,2556.0606807901872,1398.0745781731748,1157.9861026170124,1157.9861026170124
2775,86.93449289181123,3.7,3.6,9068.666209476582,10226.606433614006,-1157.9402241374246,1157.9402241374246
